Date,InstanceName,Percentage CPU (Average),Disk Read Bytes (Sum),Disk Write Bytes (Sum),Network In Total (Sum),Network Out Total (Sum)
03-10-2025,azure-instance1,58.60458333333333,252733933.93,173060762.97,1642628.0,4451951.0
03-10-2025,azure-instance2,31.307499999999997,52976272.07,25121121.11,1772162.0,12959793.0
03-10-2025,azure-instance3,30.865857142857145,222835789.97,43247553.07,1774537.0,13444584.0
03-10-2025,azure-instance4,58.5975,131376382.38,45558564.5,2219352.0,14205102.0
03-10-2025,azure-instance5,61.01014285714286,49734078.67,19298268.75,1717135.0,4727106.0
02-10-2025,azure-instance1,46.84928571428571,392017277.79,210734939.39,3428748.0,8993943.0
02-10-2025,azure-instance2,53.18357142857143,120994922.27999999,136393892.56,6235098.0,29258215.0
02-10-2025,azure-instance3,39.017467532467535,238118749.55,74594745.0,3681733.0,27416010.0
02-10-2025,azure-instance4,58.11863636363637,313656832.28,950036114.23,61190492.0,24507099.0
02-10-2025,azure-instance5,50.85944444444444,449320819.59,207739522.54999998,5329138.0,9455875.0
01-10-2025,azure-instance1,44.816117647058825,916141605.88,1323719816.79,22019147.0,10137869.0
01-10-2025,azure-instance2,52.785301204819284,286319302.46999997,250194212.48,60144355.0,28494503.0
01-10-2025,azure-instance3,53.198554216867464,216639401.81,250845550.36999997,60387814.0,29945925.0
01-10-2025,azure-instance4,50.86559523809524,353389596.99,398332353.15999997,58442673.0,27186858.0
01-10-2025,azure-instance5,42.86690476190476,287147815.94,192162833.57999998,5603406.0,9763049.0
30-09-2025,azure-instance1,37.470047169811316,912813728.17,738229114.66,90878541.0,11857408.0
30-09-2025,azure-instance2,28.18381619937695,86411054.09,76279530.74,5432579.0,34441001.0
30-09-2025,azure-instance3,27.961111111111112,191646144.82,84763897.42,5021449.0,35334972.0
30-09-2025,azure-instance4,40.453551401869156,86314274.26,91555981.27,5152933.0,33228969.0
30-09-2025,azure-instance5,33.51152777777778,110091198.14,32394281.1,4775826.0,11161600.0
29-09-2025,azure-instance1,26.63962068965517,101179017.77,180642570.64,8224997.0,17694688.0
29-09-2025,azure-instance2,20.756310344827586,91923609.05,103703220.25,6743131.0,46925995.0
29-09-2025,azure-instance3,20.86786206896552,91390202.38,182629927.45,8334416.0,50640575.0
